Fish_ID,ID,Tag_Model,Tag_Serial_No,AcousticID,Tag_Code_Space,Tag_Activation_Date,Tag_Life_Days,Species,Capture_Lat,Capture_Long,FL_m,Mass_kg,TL_m,Release_Location,Release_Site,Release_Lat,Release_Long,UTC_Release_DateTime
BT01,t1,V9T-2x,1185824,10492,A69-9002,NA,405,Bull trout,51.625564,-124.142322,0.58,1.7,0.6,"Chilko Lake, British Columbia, Canada",chilko_river,51.625564,-124.142322,2014-05-02T16:40:00Z
BT02,t2,V9T-2x,1185825,10493,A69-9002,NA,405,Bull trout,51.625564,-124.142322,0.645,3.6,0.67,"Chilko Lake, British Columbia, Canada",chilko_river,51.625564,-124.142322,2014-05-02T16:00:00Z
BT03,t3,V9T-2x,1185826,10494,A69-9002,NA,405,Bull trout,51.62004,-124.14276,0.55,1.9,0.575,"Chilko Lake, British Columbia, Canada",chilko_river,51.62004,-124.14276,2014-05-01T09:45:00Z
BT04,t4,V9T-2x,1185827,10495,A69-9002,NA,405,Bull trout,51.625564,-124.142322,0.57,2.3,0.585,"Chilko Lake, British Columbia, Canada",chilko_river,51.625564,-124.142322,2014-05-02T15:45:00Z
BT05,t5,V9T-2x,1185828,10496,A69-9002,NA,405,Bull trout,51.62004,-124.14276,0.66,4,0.69,"Chilko Lake, British Columbia, Canada",chilko_river,51.62004,-124.14276,2014-05-01T09:37:00Z
BT06,t6,V9T-2x,1185829,10497,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.628,2.8,0.64,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T09:21:00Z
BT07,t7,V9T-2x,1185830,10498,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.55,1.6,0.569,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T10:17:00Z
BT08,t8,V9T-2x,1185831,10499,A69-9002,NA,405,Bull trout,51.625564,-124.142322,0.63,4,0.65,"Chilko Lake, British Columbia, Canada",chilko_river,51.625564,-124.142322,2014-05-02T16:25:00Z
BT09,t9,V9T-2x,1185832,10500,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.6,2.2,0.615,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T10:59:00Z
BT10,t10,V9T-2x,1185833,10501,A69-9002,NA,405,Bull trout,51.625564,-124.142322,0.7,4.7,0.725,"Chilko Lake, British Columbia, Canada",chilko_river,51.625564,-124.142322,2014-05-02T16:15:00Z
BT11,t11,V9T-2x,1185834,10502,A69-9002,NA,405,Bull trout,51.6162,-124.15245,0.58,2.1,0.6,"Chilko Lake, British Columbia, Canada",chilko_river,51.6162,-124.15245,2014-04-30T12:40:00Z
BT12,t12,V9T-2x,1185835,10503,A69-9002,NA,405,Bull trout,51.6194,-124.14252,0.712,3.7,0.75,"Chilko Lake, British Columbia, Canada",chilko_river,51.6194,-124.14252,2014-04-26T10:51:00Z
BT13,t13,V9T-2x,1185836,10504,A69-9002,NA,405,Bull trout,51.6194,-124.14252,0.6,2.5,0.61,"Chilko Lake, British Columbia, Canada",chilko_river,51.6194,-124.14252,2014-04-26T11:27:00Z
BT14,t14,V9T-2x,1185837,10505,A69-9002,NA,405,Bull trout,51.6194,-124.14252,0.69,3.5,0.71,"Chilko Lake, British Columbia, Canada",chilko_river,51.6194,-124.14252,2014-04-26T11:00:00Z
BT15,t15,V9T-2x,1185838,10506,A69-9002,NA,405,Bull trout,51.61964,-124.14299,0.545,2,0.56,"Chilko Lake, British Columbia, Canada",chilko_river,51.61964,-124.14299,2014-04-26T11:49:00Z
BT16,t16,V9T-2x,1185839,10507,A69-9002,NA,405,Bull trout,51.61964,-124.14299,0.462,1.3,0.475,"Chilko Lake, British Columbia, Canada",chilko_river,51.61964,-124.14299,2014-04-26T10:31:00Z
BT17,t17,V9T-2x,1185840,10508,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.605,2.2,0.613,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T10:31:00Z
BT18,t18,V9T-2x,1185841,10509,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.58,1.8,0.6,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T09:11:00Z
BT19,t19,V9T-2x,1185842,10510,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.61,2.4,0.635,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T09:32:00Z
BT20,t20,V9T-2x,1185843,10511,A69-9002,NA,405,Bull trout,51.6194,-124.14252,0.599,2.5,0.612,"Chilko Lake, British Columbia, Canada",chilko_river,51.6194,-124.14252,2014-04-26T11:53:00Z
BT21,t21,V9T-2x,1185844,10512,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.48,1.4,0.5,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T09:56:00Z
BT22,t22,V9T-2x,1185845,10513,A69-9002,NA,405,Bull trout,51.6162,-124.15245,0.6,2.6,0.62,"Chilko Lake, British Columbia, Canada",chilko_river,51.6162,-124.15245,2014-04-30T11:50:00Z
BT23,t23,V9T-2x,1185846,10514,A69-9002,NA,405,Bull trout,51.61964,-124.14299,0.68,3,0.69,"Chilko Lake, British Columbia, Canada",chilko_river,51.61964,-124.14299,2014-04-26T12:10:00Z
BT24,t24,V9T-2x,1185847,10515,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.65,3.2,0.68,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T09:45:00Z
BT25,t25,V9T-2x,1185848,10516,A69-9002,NA,405,Bull trout,51.6214,-124.14567,0.55,1.4,0.564,"Chilko Lake, British Columbia, Canada",chilko_river,51.6214,-124.14567,2014-04-27T08:59:00Z
